fmt_date,weekday,days,Time,Title,Venue,Address,Lat_long,Description,Cost,URL,Special,region
2024-11-11,1,Monday,7:00 pm - 11:00 pm,Fuego Mondays,Don Tigre Mexican - Owings Mills ,"9433 Common Brook Rd, Owings Mills, MD, United States","39.399425830616366, -76.80129510248892","We�re excited to invite you to a lively Salsa and Bachata Night at Don Tigre Mexican Cantina! Come and enjoy an evening of delicious Mexican cuisine and libations, vibrant music, [�]",$10,https://golatindance.com/event/fuego-mondays-2/2024-11-11/,0,South
2024-11-12,2,Tuesday,6:30 pm - 10:00 pm,Latin Nights at R House,R House ,"301 W 29th Street, Baltimore, MD, United States","39.321810569743505, -76.62228094667111","LATIN NIGHT AT R. HOUSE�Learn to Salsa and Bachata EVERY TUESDAY with @SalsaNow� 6:30 PM Salsa/Bachata Class, alternating every week. 7:30 - 10PM Music & Dancing Drink Specials from r. [�]",$10,https://golatindance.com/event/latin-nights-at-r-house/2024-11-12/,0,South
2024-11-12,2,Tuesday,8:00 pm - 12:00 am,Project Mambo Tuesdays at The Spot,The Spot - Rockville ,"255 N Washington St, Rockville, MD, United States","39.08757651193246, -77.15283201784216",Project Mambo Tuesdays at The Spot. Join us for a weekly salsa and bachata event. Dance lessons at 8pm - 9pm. Social dancing 9pm - 12 Midnight. Lessons by top [�],$10,https://golatindance.com/event/project-mambo-tuesdays-at-the-spot/2024-11-12/,0,South
2024-11-12,2,Tuesday,8:00 pm - 12:30 am,Taco Tuesdays by Bachata Brunch,La Catrina Bar & Lounge ,"4935 Cordell Av, Bethesda, DC, United States","38.98862195988281, -77.09923780250111",Sizzle into Taco Tuesdays at La Catrina Bar & Lounge: Tacos and Bachata. Bachata class at 8pm. No cover.,$10,https://golatindance.com/event/taco-tuesdays-by-bachata-brunch/2024-11-12/,0,South
2024-11-12,2,Tuesday,7:00 pm - 11:00 pm,Salsa Bachata Night at Rendezvous,Rais Rendezvous ,"44042 Pipeline Plaza, Ashburn, VA, United States","39.02292433997807, -77.47782464668003",Salsa Bachata Night at Rendezvous. See flyer for details.,$10,https://golatindance.com/event/salsa-bachata-night-at-rendezvous/2024-11-12/,0,South
2024-11-13,3,Wednesday,8:00 pm - 12:00 am,Salsa Bachata Bayside Cantina,Bayside Cantina ,"2809 Boston S, Baltimore, MD, United States","39.278014366927856, -76.57628178714839","BAYSIDE CANTINA - VIVAMOS BAILANDO MARYLAND presents: Salsa Bachata Bayside Cantina Wednesday Night Enjoy every Wednesday night at Bayside Cantina, dancing Bachata, Salsa, and merengue. Learn Salsa ON2 or Bachata [�]",$10,https://golatindance.com/event/salsa-bachata-bayside-cantina/2024-11-13/,0,South
2024-11-13,3,Wednesday,8:00 pm - 12:00 am,Salsa Night at The Regency,The Regency - Herndon ,"2300 Dulles Corner Blvd, Herndon, VA, United States","38.9607224340992, -77.42342232366592","? Salsa Night at The Regency ? ? Venue: The Hyatt Regency Hotel, Herndon, VA ? Time: 8:00 PM - Late Join us for an unforgettable night of Salsa and [�]",$10,https://golatindance.com/event/salsa-night-at-the-regency/2024-11-13/,0,South
2024-11-13,3,Wednesday,8:00 pm - 2:00 am,Passion Bachata Wednesdays at The Salsa Room,THE SALSA ROOM TYSONS ,"8453 Tyco Rd, McLean, VA 22102, McLean, VA, United States","38.9311326694379, -77.23725876017478",PASSION BACHATA WEDNESDAYS BACHATA CLASSES Beginners 8:15PM Intermediate 9:15PM (No Partner Needed) Music By top guest DJs. COVER $10 (Open 8PM-2AM) Lounges/Tables Reservations www.tsrtickets.com Contact Us For Reservations rsvp@thesalsaroom.net (571)424-6778 [�],$10,https://golatindance.com/event/passion-bachata-wednesdays/2024-11-13/,0,South
2024-11-13,3,Wednesday,7:00 pm - 2:00 am,Salsa Con Candela,Public Bar Live ,"1214 18th St NW, Washington D.C., DC 20036, Washington D.C., DC, US","38.906489093912526, -77.04195048901154",Salsa in DC and Public Bar Live bring you SALSA NIGHTS every WEDNESDAY! THIS IS A FREE EVENT. Contact Us For Reservations- events@publicbarlive.com HAPPY HOUR UNTIL 9PM DRESS CODE - [�],$10,https://golatindance.com/event/salsa-con-candela/2024-11-13/,0,South
2024-11-14,4,Thursday,7:00 pm - 1:00 am,Discoteca Latina Thursdays,The Original Cancun Cantina ,"7501 Old Telegraph Rd, Hanover, MD, US","39.159542642939236, -76.68232770249598",Too much of a good thing is a great thing! That's why we are giving you more of what you love at your favorite place. Please join SalsaNow weekly at [�],$10,https://golatindance.com/event/discoteca-latina-thursdays/2024-11-14/,0,South
2024-11-14,4,Thursday,7:30 pm - 1:30 am,Thursday Latin Dance Night @ La Palapa,La Palapa Grill and Cantina ,"8307 Main Street, Ellicott City, MD, United States","39.26777725877938, -76.79996400249266",Get ready to spice up your Thursdays! The return of Thursday Latin Nights at La Palapa Grill & Cantina is here! Every Thursday Salsa Lessons at 7:30 PM DJ Rey [�],$10,https://golatindance.com/event/thursday-latin-dance-night-la-palapa/2024-11-14/,0,South
2024-11-14,4,Thursday,8:00 pm - 1:00 am,Latin Pulse Thursdays Night,Enigma Bar and Grill ,"1713 Eastern ave, Baltimore, MD, United States","39.28559495811542, -76.59251801598427",B-More Urbana Presents at Enigma Bar and Grill Latin Social Dance Nights Join us every Thursday Nighy for amazing time for dance and enjoy the specials for Food and drinks. [�],$10,https://golatindance.com/event/latin-pulse-thursdays-night/2024-11-14/,0,South
2024-11-14,4,Thursday,9:00 pm - 1:00 am,Bachata Salsa Night at Uncle Jalapenos,Uncle Jalapenos ,"13005 WorldGate Dr, Herndon, VA, United States","38.95727107235535, -77.40001736017399","Sounds by Angel Ortiz brings you more of what you love at a brand-new beautiful place in the heart of Herndon, VA with your favorite genres Salsa and Bachata! Starting [�]",$10,https://golatindance.com/event/bachata-salsa-night-at-uncle-jalapenos/2024-11-14/,0,South
2024-11-14,4,Thursday,6:30 pm - 12:00 am,Latin Night at Diablos Cantina,MGM Diablos Cantina ,"101 MGM National Ave, Oxon Hill, MD, United States","38.79534303445053, -77.00931777367077",Diablos Cantina Every Thursday Happy Hour Food Drinks Dancing Lessons 6:30-8pm with Orlando Machuca � Alternate weekly Salsa/Bachata Dj Hercules � Latin DJ � 8-12am Happy Hour 5-7pm And special [�],$10,https://golatindance.com/event/latin-night-at-diablos-cantina/2024-11-14/,0,South
2024-11-15,5,Friday,8:00 pm - 2:00 am,Bachatera Fridays at The Salsa Room,THE SALSA ROOM TYSONS ,"8453 Tyco Rd, McLean, VA 22102, McLean, VA, United States","38.9311326694379, -77.23725876017478",BACHATERA FRIDAYS LADIES FREE 8PM-11PM Open 8PM-2AM BACHATA CLASSES Beginners 8:15PM Intermediate 9:15PM (No Partner Needed) Music By top guest DJs COVER $20 Lounges/Tables Reservations www.tsrtickets.com Contact Us For Reservations [�],$20,https://golatindance.com/event/bachatera-fridays/2024-11-15/,0,South
2024-11-15,5,Friday,8:00 pm - 1:30 am,Friday Salsa Bachata Night,The Periodic Table ,"8808 Centre Park Drive, Columbia, MD, United States","39.22634940554909, -76.81593614482202",SalsaNow invite you to the opening of our newest dance venue. The fabulously fun Friday Salsa Bachata Night at The Periodic Table in Columbia. Put on your dancing shoes and [�],$10,https://golatindance.com/event/friday-salsa-bachata-night/2024-11-15/,0,South
2024-11-15,5,Friday,9:00 pm - 2:30 am,SALSA CON CANDELA FRIDAYS,The Generator Hotel ,"1900 Connecticut Ave NW, Washington DC, United States","38.91609753572836, -77.0468667025032",Each and every Friday as we have salsa and bachata nights! With live percussion Guest instructors weekly No cover Live DJ and dance shows Come as you are,$10,https://golatindance.com/event/salsa-con-candela-fridays-fiesta-latina/2024-11-15/,0,South
2024-11-16,6,Saturday,8:00 pm,Dancing After Dark,Pinstripes ,"1064 Wisconsin Ave NW, Washington DC, DC, United States","38.90470920805735, -77.06299454483165","Join us every Saturday for social dancing at Pinstripes in Georgetown. Location Exact address-Pinstripes Restaurant 1064 Wisconsin Ave NW, Washington, DC 20007 Dancing is upstairs. Bring your dance shoes or [�]",$10,https://golatindance.com/event/dancing-after-dark/2024-11-16/,0,South
2024-11-16,6,Saturday,8:00 pm - 3:00 am,International Saturdays at The Salsa Room,THE SALSA ROOM TYSONS ,"8453 Tyco Rd, McLean, VA 22102, McLean, VA, United States","38.9311326694379, -77.23725876017478",INTERNATIONAL SATURDAYS Bachata Salsa Reggaeton Latin Mix Dance Classes Beginners 8:15PM Intermediate 9:15PM (No Partner Needed) Music By top guest DJs COVER $20 Open 8PM-2AM Lounges/Tables Reservations www.tsrtickets.com Contact Us [�],$20,https://golatindance.com/event/international-saturdays-bachata-salsa-reggaeton-latin-mix/2024-11-16/,0,South
2024-11-16,6,Saturday,10:30 pm,Latin Nights at Bossa Bistro and Lounge,Bossa Bistro and Lounge ,"2463 18th St NW, Washington DC, DC, United States","38.92222432419527, -77.04210052948706","The best Latin night in DC takes place right here at Bossa every Saturday night with Tumbao! Starring a pan-American assortment of fiery and consummate musicians, Tumbao � headed by [�]",$10,https://golatindance.com/event/latin-nights-at-bossa-bistro-and-lounge/2024-11-16/,0,South
2024-11-17,7,Sunday,7:00 pm - 1:30 am,Sunday Latin Night with SalsaNow,The Original Cancun Cantina ,"7501 Old Telegraph Rd, Hanover, MD, US","39.159542642939236, -76.68232770249598",Please join SalsaNow weekly at Sunday Latin Night at The Original Cancun Cantina. Come experience Sundays at The Original Cancun Cantina with SalsaNow. Baltimore's long time favorite with the largest [�],$10,https://golatindance.com/event/sunday-latin-night-with-salsanow/2024-11-17/,0,South
2024-11-17,7,Sunday,2:00 pm,Bachata Brunch,Public Bar ,"1214 18th St NW, Washington DC, DC, United States","38.906413953953646, -77.04185392948762",Bachata Brunch your #1 Sunday Funday Event Bachata class at 3pm TABLE VIP RSVP Text 202 553 8176 Text or call 202 812 7462 Sounds by top guests DJs **Price [�],$10,https://golatindance.com/event/bachata-brunch/2024-11-17/,0,South
2024-11-17,7,Sunday,5:30 pm - 10:30 pm,Salsa Underground,Capital Ballroom Dance Studio ,"7800 Wisconsin Ave, Bethesda, MD, United States","38.988612459899635, -77.09535948900903",DJ DOLA & DJ MAMBO SOUL!!!! CHA-CHA GUAJIRA GUANGUANCO LATIN JAZZ MAMBO!!!! SON MONTUNO M�SICA CUBANA SALSA DURA $20 Lesson & Social Dancing 5:30-6:30PM Salsa ON2 Footwork/ Turn Patterns Social [�],$20,https://golatindance.com/event/salsa-underground-2/2024-11-17/,1,South
